word,segment,present
achievement,1,0
achievement,2,0
achievement,3,1
achievement,4,1
achievement,5,1
achievement,6,1
achievement,7,0
achievement,8,0
achievement,9,0
achievement,10,0
achievement,11,1
achievement,12,1
achievement,13,1
achievement,14,1
achievement,15,1
ball,1,1
ball,2,1
ball,3,0
ball,4,1
ball,5,1
ball,6,0
ball,7,1
ball,8,1
ball,9,0
ball,10,0
ball,11,1
ball,12,1
ball,13,1
ball,14,1
ball,15,0
beg,1,1
beg,2,1
beg,3,0
beg,4,0
beg,5,0
beg,6,1
beg,7,1
beg,8,1
beg,9,0
beg,10,1
beg,11,1
beg,12,1
beg,13,1
beg,14,1
beg,15,0
cold,1,0
cold,2,0
cold,3,0
cold,4,0
cold,5,0
cold,6,0
cold,7,0
cold,8,1
cold,9,1
cold,10,0
cold,11,0
cold,12,0
cold,13,0
cold,14,1
cold,15,0
cripple,1,1
cripple,2,0
cripple,3,1
cripple,4,1
cripple,5,1
cripple,6,1
cripple,7,1
cripple,8,1
cripple,9,1
cripple,10,1
cripple,11,0
cripple,12,0
cripple,13,0
cripple,14,0
cripple,15,0
hospital,1,0
hospital,2,1
hospital,3,0
hospital,4,1
hospital,5,0
hospital,6,1
hospital,7,0
hospital,8,1
hospital,9,0
hospital,10,0
hospital,11,1
hospital,12,0
hospital,13,0
hospital,14,0
hospital,15,0
jail,1,0
jail,2,1
jail,3,0
jail,4,1
jail,5,0
jail,6,1
jail,7,1
jail,8,1
jail,9,1
jail,10,1
jail,11,1
jail,12,1
jail,13,1
jail,14,1
jail,15,1
machine,1,0
machine,2,0
machine,3,1
machine,4,0
machine,5,1
machine,6,1
machine,7,0
machine,8,1
machine,9,1
machine,10,0
machine,11,1
machine,12,0
machine,13,1
machine,14,1
machine,15,1
smoke,1,0
smoke,2,0
smoke,3,0
smoke,4,1
smoke,5,0
smoke,6,0
smoke,7,1
smoke,8,1
smoke,9,0
smoke,10,0
smoke,11,1
smoke,12,0
smoke,13,1
smoke,14,0
smoke,15,1
sunglasses,1,1
sunglasses,2,1
sunglasses,3,1
sunglasses,4,1
sunglasses,5,1
sunglasses,6,0
sunglasses,7,0
sunglasses,8,0
sunglasses,9,0
sunglasses,10,0
sunglasses,11,0
sunglasses,12,0
sunglasses,13,0
sunglasses,14,0
sunglasses,15,0
threaten,1,0
threaten,2,1
threaten,3,0
threaten,4,0
threaten,5,0
threaten,6,1
threaten,7,0
threaten,8,0
threaten,9,1
threaten,10,1
threaten,11,1
threaten,12,1
threaten,13,1
threaten,14,1
threaten,15,0
van,1,1
van,2,0
van,3,0
van,4,0
van,5,1
van,6,1
van,7,1
van,8,1
van,9,0
van,10,1
van,11,0
van,12,0
van,13,1
van,14,1
van,15,1
workhouse,1,0
workhouse,2,1
workhouse,3,0
workhouse,4,0
workhouse,5,1
workhouse,6,1
workhouse,7,1
workhouse,8,1
workhouse,9,0
workhouse,10,0
workhouse,11,1
workhouse,12,1
workhouse,13,1
workhouse,14,0
workhouse,15,0
drink,1,1
drink,2,1
drink,3,1
drink,4,1
drink,5,1
drink,6,1
drink,7,0
drink,8,0
drink,9,0
drink,10,1
drink,11,0
drink,12,1
drink,13,0
drink,14,1
drink,15,1
gentlemen,1,1
gentlemen,2,1
gentlemen,3,1
gentlemen,4,1
gentlemen,5,1
gentlemen,6,1
gentlemen,7,1
gentlemen,8,0
gentlemen,9,1
gentlemen,10,0
gentlemen,11,0
gentlemen,12,1
gentlemen,13,1
gentlemen,14,1
gentlemen,15,1
gun,1,0
gun,2,0
gun,3,0
gun,4,0
gun,5,1
gun,6,0
gun,7,1
gun,8,0
gun,9,1
gun,10,1
gun,11,1
gun,12,1
gun,13,0
gun,14,1
gun,15,0
stare,1,0
stare,2,1
stare,3,0
stare,4,1
stare,5,1
stare,6,0
stare,7,1
stare,8,1
stare,9,0
stare,10,0
stare,11,1
stare,12,1
stare,13,1
stare,14,1
stare,15,1
